#lab INRiM
#s CNTArO2Etching_N1new
#t 2.78 
#d 0.5
#N 20
#hv keithley6487
#dbm 5
#Kepco acceso con FAA a 300 mK
#Voltage	Current	SD
#V	pA	pA
63.000000	-21.066610	0.227752
62.000000	-12.831610	0.220803
61.000000	-8.036151	0.215173
60.000000	-4.771786	0.222162
59.000000	-2.783171	0.217957
58.000000	-1.584670	0.204929
57.000000	-0.917425	0.216783
56.000000	-0.511238	0.187789
55.000000	-0.252731	0.213957
54.000000	-0.104470	0.187882
53.000000	-0.088148	0.194114
52.000000	-0.057228	0.170191
51.000000	-0.000005	0.171669
50.000000	-0.002284	0.173351
49.000000	-0.016347	0.180900
48.000000	-0.040663	0.158263
47.000000	-0.032355	0.169789
46.000000	-0.001981	0.155982
45.000000	-0.003936	0.146028
44.000000	-0.029599	0.163146
43.000000	-0.048931	0.125459
42.000000	-0.013632	0.161118
41.000000	-0.011789	0.109742
40.000000	-0.014179	0.150022
39.000000	-0.031424	0.102317
38.000000	-0.035912	0.129973
37.000000	-0.012914	0.093624
36.000000	-0.001364	0.114819
35.000000	-0.033208	0.081864
34.000000	-0.035001	0.105650
33.000000	-0.013553	0.085108
32.000000	-0.015123	0.108291
31.000000	-0.021446	0.069255
30.000000	-0.035710	0.100566
29.000000	-0.024576	0.082715
28.000000	-0.003127	0.095218
27.000000	-0.019409	0.081207
26.000000	-0.027848	0.091232
25.000000	-0.026642	0.085849
24.000000	-0.008061	0.095013
23.000000	-0.011202	0.084880
22.000000	-0.029845	0.089234
21.000000	-0.033228	0.079076
20.000000	-0.019176	0.087985
19.000000	-0.012489	0.076524
18.000000	-0.028659	0.083804
17.000000	-0.037454	0.071537
16.000000	-0.033735	0.076558
15.000000	-0.019379	0.083002
14.000000	-0.028528	0.067412
13.000000	-0.027038	0.067813
12.000000	-0.033847	0.064756
11.000000	-0.028558	0.065366
10.000000	-0.024374	0.048413
9.000000	-0.029804	0.075468
8.000000	-0.038994	0.046511
7.000000	-0.023219	0.067291
6.000000	-0.015742	0.048186
5.000000	-0.020352	0.067167
4.000000	-0.026856	0.046649
3.000000	-0.031507	0.067524
2.000000	-0.023381	0.043339
1.000000	-0.023594	0.069941
0.000000	-0.024374	0.060058
